SIREN;Nom de l'entreprise;Produit;Numéro de dossier;Chargé d'affaire;Finalité commerciale;Date D'accord;Date prévisionnelle de signature;Dépenses entreprise (k€);Statut
523670495;32 HOCHE;Financement plan réduction émissions CO2;729161421;Cecile Marquardt;Modernisation;;13/09/2012;443;Perdu
827907254;HODBOURG WAGNER ARCHITECTURE;Financement plan réduction pollution;735631052;Abigayle Rohan;Modernisation;;02/10/2019;153;Perdu
830927992;HOME STOCK;Prêt économies énergies;160178183;Price Glover;Modernisation;;22/11/2014;119;Perdu
751885831;HIGHSYS;Financement installations production énergies renouvellables;115531564;Isaac Runolfsdottir;Modernisation;13/04/2017;11/02/2017;349;Gagné
832962989;SNC GRANDE PHARMACIE DE BELLEVILLE;Prêt participatif développement bois;306715125;Mara Lowe;Développement;;07/01/2017;394;Perdu
432603876;SINGER & HAMILTON;Financement installations production énergies renouvellables;185952526;Frederick Predovic;Modernisation;15/11/2015;29/08/2015;361;Gagné
834124448;SNC STEF-TFE SERVICES;Financement travaux modernisation;890958967;Frederick Predovic;Modernisation;;14/03/2012;209;Perdu
822388138;3CSDIS;Financement formation TES;204616778;Darrion Becker;Développement;;12/03/2017;463;Perdu
393741723;SOC EXPLOIT DISTRIB PRODUIT AL;Financement innovation écologique;255786879;Frederick Predovic;Développement;;13/01/2020;284;En cours
849538137;A.C.M.E.;Prêt participatif développement bois;8645439710;Price Glover;Développement;;17/12/2016;280;Perdu
790659593;SOC AMIS DU LOUVRE;Prêt Crédit Impôt Recherche;3470689011;Dusty Hoppe;Développement;;09/12/2016;303;Perdu
532239563;HERVE MARTIN ET NICOLAS PHILIPPOT, NOTAIRES ASSOCIES D'UNE SOCIETE CIVILE PROFESSIONNELLE, TITULAIRE D'UN OFFICE...;Financement travaux modernisation;4525862712;Arnoldo Roob;Modernisation;;27/03/2019;284;Perdu
848305967;SOC AUTOMATISM REALISAT ASCENSEUR;Prêt participatif développement bois;9097671413;Queen Pfannerstill;Développement;;20/12/2015;217;Perdu
802701201;HENG SHENG;Financement innovation écologique;8372486814;Queen Pfannerstill;Développement;;03/03/2013;476;Perdu
384127585;SOC ANDRE MAEGHT;Financement plan réduction pollution;7563132115;Darrion Becker;Modernisation;;26/01/2016;331;Perdu
799062476;SOC FUSA PROTECTION;Financement plan réduction émissions CO2;4295685416;Mara Lowe;Modernisation;;10/04/2019;117;Perdu
530431055;SOC D ALIMENTATION COMMERCIALE;Financement plan réduction pollution;7790863417;Abigayle Rohan;Modernisation;;04/05/2019;461;Perdu
480304344;HOTEL LA BOURDONNAIS;Financement campagne sensibilisation interne TES;3911269418;Cecile Marquardt;Développement;;26/01/2016;294;Perdu
830727764;HOMERE;Financement installations production énergies renouvellables;2054388419;Cecile Marquardt;Modernisation;09/01/2020;19/11/2019;456;Gagné
502752983;SIB FRANCE SYSTEME INFORMATIQ BUREAUTIQ;Financement innovation écologique;4731699020;Darrion Becker;Développement;;02/03/2012;367;Perdu
848606877;2Y MEDIA;Prêt économies énergies;8245587121;Dusty Hoppe;Modernisation;;10/03/2012;357;Perdu
431644798;12 Z;Prêt économies énergies;3731902422;Price Glover;Modernisation;;08/11/2010;483;Perdu
840780738;HOTEL ALEXANDRA;Prêt participatif développement bois;3471892923;Mara Lowe;Développement;;05/04/2016;153;Perdu
437577307;ABD EXPANSION;Financement campagne sensibilisation interne TES;2951257424;Arnoldo Roob;Développement;;17/03/2014;143;Perdu
840342992;HOTEL LOUISON;Financement campagne sensibilisation interne TES;3921455925;Darrion Becker;Développement;07/05/2011;23/03/2011;351;Gagné
801076134;A.I.2.P;Financement innovation écologique;9265937826;Trystan Hickle;Développement;;17/02/2011;352;Perdu
393741723;SOC EXPLOIT DISTRIB PRODUIT AL;Financement campagne sensibilisation interne TES;6432394827;Cecile Marquardt;Développement;;27/10/2014;474;Perdu
