SIREN,Capital_Investissement_ECO,Nb_Projets_ECO,Engagement_ECO,ACT_4_Nature,Capital_Investissement_General
451658389,486351,15,false,false,195143
299200097,407599,40,false,true,860046
790815286,307602,22,true,true,101254
394792923,498863,77,true,true,272210
443937438,453509,82,true,true,195500
847922606,192857,97,true,false,720626
439263179,297211,90,false,false,710834
834209959,264845,61,false,true,317729
399780329,397125,78,false,false,364457
342805843,180804,38,true,false,635172
877877837,149720,54,true,true,289278
784671257,452136,52,false,true,633406
410963656,236598,71,false,false,663771
793577016,266759,77,false,false,819706
831430178,374071,98,false,true,434321
750580243,170972,41,true,true,725980
505099598,409724,74,false,true,317351
785355041,305502,29,true,false,876156
477855548,233815,66,false,false,876318
533866893,412399,98,true,true,471478
818689556,283989,65,false,true,936000
833524713,401012,7,false,true,3603
499680494,84447,5,false,true,926428
531056257,346095,97,true,false,880327
802615591,423048,98,true,true,68393
389005067,365135,33,false,false,840096
812592830,52600,6,false,true,820571
821287810,336664,98,true,false,729809
790626246,135001,63,false,false,445595
831558721,310133,39,true,false,234395
790932412,447309,38,true,false,422772
853412237,179744,14,false,true,965807
504472044,459285,8,true,false,591126
452796394,479422,44,false,false,32317
803672310,366689,17,false,false,362857
352779730,101637,69,false,false,626878
433919834,166952,64,true,true,130481
851638882,149068,19,false,true,166198
808326839,213261,20,true,true,363753
433174182,44839,96,false,false,378857
753435676,406405,84,true,true,643132
