Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Réalisation d'une plateforme de réparation navale pour méga-yachts de 4000 tonnes sur les Chantiers Navals de La Ciotat;"1	Préambule

Après la fermeture des chantiers navals de la Ciotat en 1987, le site s’est progressivement spécialisé dans la maintenance et la réparation des grands yachts. Après l’aménagement de la Plateforme Super-Yachts et la restructuration de la Grande Forme (bassin d’accueil et de mise à sec des grands navires), La Ciotat Shipyards, gestionnaire du site, projette la réalisation de la Plateforme Méga-Yachts dédiée aux navires de 4 000 tonnes. Cette opération nécessite le déplacement de l’actuel port à sec. La Demande d’Autorisation Environnementale présente également le projet de Village d’entreprises dans son état actuel d’avancement : en effet, même s’il s’agit d’une opération dissociée de l’aménagement de la Plateforme 4 000 t, la présente étude analyse les éventuels impacts cumulés des deux opérations.

1.1	Procédure d’évaluation environnementale

Le projet est soumis à évaluation environnementale. Les rubriques concernées du tableau annexé à l’article R122-2 du Code de l’Environnement sont les suivantes :

•	Rubrique impliquant obligatoirement une évaluation environnementale :

-	Infrastructures portuaires, maritimes et fluviales (rubrique n°9 b) : Ports de commerce, quais de chargement et de déchargement reliés à la terre et avant-ports (à l'exclusion des quais pour transbordeurs) accessibles aux bateaux de plus de 1 350 tonnes ;

•	Rubriques soumettant le projet à une évaluation au cas par cas :

-	Canalisation et régularisation des cours d'eau (rubrique n°10) : Installations, ouvrages, travaux ou activités conduisant à la dérivation d'un cours d'eau sur une longueur supérieure ou égale à 100 m ;

-	Travaux, ouvrages et aménagements en zone côtière (rubrique n°11 b) : Reconstruction d'ouvrages ou aménagements côtiers existants ;

-	Récupération de territoires sur la mer (rubrique n°12) : Tous travaux de récupération de territoires sur la mer ;

-	Dispositifs de prélèvement des eaux de mer (rubrique n°18) : Tous dispositifs dont le prélèvement est supérieur ou égal à 30 m3/h d'eau de mer ;

-	Rejet en mer (rubrique n°19) : Rejet en mer dont le débit est supérieur ou égal à 30 m3/h ;

-	Extraction de minéraux par dragage marin ou fluvial (rubrique n°25 a) : Dragage et/ ou rejet y afférent en milieu marin dont la teneur des sédiments extraits est supérieure ou égale au niveau de référence N2 (défini dans l’Arrêté du 9 août 2006) pour l'un au moins des éléments qui y figurent ;

-	Travaux, constructions et opérations d'aménagement (rubrique n°39 a) : Travaux et constructions qui créent une surface de plancher au sens de l'article R. 111-22 du code de l'urbanisme ou une emprise au sol au sens de l'article R. * 420-1 du code de l'urbanisme comprise entre 10 000 et 40 000 m2.

-	Aires de stationnement ouvertes au public, dépôts de véhicules et garages collectifs de caravanes ou de résidences mobiles de loisirs (rubrique n°41 a) : Aires de stationnement ouvertes au public de 50 unités et plus.

1.2	Procédure d’autorisation « Loi sur l’eau »

Le projet est soumis à une autorisation en application des articles L214-1 à L214-6 (autorisation dite « Loi sur l’eau »). Les rubriques concernées du tableau de l’article R214-1 du Code de l’Environnement sont les suivantes :

•	Rejet dans les eaux de surface (rubrique 2.2.3.0.) : le flux total de pollution brute étant supérieur ou égal au niveau de référence R2 (défini dans l’Arrêté du 9 août 2006) pour l'un au moins des paramètres qui y figurent (Autorisation) ;

•	Installations, ouvrages, travaux ou activités conduisant à modifier le profil en long ou le profil en travers du lit mineur d'un cours d'eau, à l'exclusion de ceux visés à la rubrique 3.1.4.0, ou conduisant à la dérivation d'un cours d'eau (rubrique 3.1.2.0.) : sur une longueur supérieure à 100 m (Autorisation) ;

•	Travaux d'aménagement portuaires et autres ouvrages réalisés en contact avec le milieu marin et ayant une incidence directe sur ce milieu (rubrique 4.1.2.0.) : d'un montant supérieur ou égal à 1 900 000 d’euros (Autorisation) ;

•	Dragage et/ ou rejet y afférent en milieu marin (rubrique 4.1.3.0.) : Dont la teneur des sédiments extraits est supérieure ou égale au niveau de référence N2 (défini dans l’Arrêté du 9 août 2006) pour l'un au moins des éléments qui y figurent (Autorisation).

1.3	Incidences sur les sites Natura 2000

Le site du projet se trouve à proximité de deux sites Natura 2000. Il convient donc d’évaluer les incidences sur ces sites particuliers conformément aux spécifications de l’article R414-23 du Code de l’Environnement.

1.4	Composition du dossier de demande d’autorisation environnementale

Le dossier de demande d’autorisation environnementale contient les pièces suivantes conformément à l’article R181-13 du Code de l’Environnement :

•	Pièce 1 - Pièces générales du dossier :

-	Identité du demandeur

-	Emplacement des travaux

-	Propriété des terrains

-	Description des travaux

-	Mesures ERC - Moyens de surveillance

-	Eléments graphiques

•	Pièce 2 - Etude d’impact

•	Pièce 3 - Etude d’impact - Résumé non technique

•	Pièce 4 - Etude d’impact - Annexes

•	Pièce 5 - Note de présentation non technique";Infrastructures portuaires, maritimes et fluviales;INDUSTRIE;clos;Autorisation au titre du code de l'environnement;;;LA CIOTAT SHIPYARDS;CGDD - MTES;2019-12-10T08:19:09+01:00;téléprocédure demarches-simplifiées;20/11/2019;13 - Bouches-du-Rhône;11/12/2019;15/01/2020;451658389
Centrale hydroélectrique de La Sarenne;"L’aménagement hydroélectrique projeté est implanté dans le département de l’Isère sur le torrent de la Sarenne, affluent de rive droite de la Romanche dans laquelle il se jette à hauteur du chef-lieu de Bourg-d’Oisans. Trois communes sont concernées : Le Bourg-d’Oisans (emplacement de l’usine hydroélectrique), La Garde / Huez (chemin d’eau), Huez / La Garde (prise d’eau). 

Les principales caractéristiques de l’aménagement hydroélectrique projeté sont : 

Hauteur de chute maximale : 735 m 

Débit d’équipement : 1.8 m3/s 

Module annuel : 1.08 m3/s 

Puissance équipée maximale : 11 MW 

Chemin d’eau souterrain : 3500 ml

La SAS La Sarenne a obtenu la concession du torrent de la Sarenne le 24 juillet 2014 en vue de la construction et de l’exploitation de l’aménagement hydroélectrique pour une durée de 40 ans. Le projet a été déclaré d’Utilité Publique par le Préfet de l’Isère en février 2015.

Des modifications ont été apportées au « projet initial » approuvé par l’État en 2014, lors de l’octroi de la concession correspondante à la SAS La Sarenne. Ces modifications répondent aux contraintes et enjeux techniques, économiques et environnementaux identifiés lors des études techniques complémentaires réalisées depuis 2014. 

Les principales caractéristiques du projet approuvé en 2014 sont maintenues, conformément à l’article 16 du cahier des charges de la concession, approuvé par l’arrêté préfectoral n°2014203-0039 du 22 juillet 2014.L’étude d’impact du projet initial a été actualisée afin de prendre en compte les modifications apportées au projet d’aménagement hydroélectrique de la Sarenne.

La comparaison entre les incidences des deux versions du projet indique que les modifications projetées induisent des incidences identiques ou réduites sur l’environnement vis-à-vis de : 

- La prévention des inondations et la préservation des écosystèmes aquatiques, des sites et des zones humides ;

- La protection des eaux et la lutte contre toute pollution par déversements, écoulements, rejets, dépôts directs ou indirects de matières de toute nature et plus généralement par tout fait susceptible de provoquer ou d'accroître la dégradation des eaux en modifiant leurs caractéristiques physiques, chimiques, biologiques ou bactériologiques, qu'il s'agisse des eaux superficielles ou souterraines ; 

- La restauration de la qualité de ces eaux et leur régénération ; 

- Le développement, la mobilisation, la création et la protection de la ressource en eau ; 

- La valorisation de l'eau comme ressource économique et, en particulier, pour le développement de la production d'électricité d'origine renouvelable ainsi que la répartition de cette ressource ; 

- La promotion d'une utilisation efficace, économe et durable de la ressource en eau.";Installations destinées à la production d'énergie hydroélectrique;"URBANISME ET CONSTRUCTION;ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;"Autorisation au titre du code de l'environnement;Autorisation au titre du code rural ou forestier;Permis de construire;Autre";;;ARTELIA eau et environnement;CGDD - MTES;2018-12-03T17:47:32+01:00;téléprocédure demarches-simplifiées;07/11/2018;38 - Isère;22/11/2018;22/12/2018;299200097
Projet de carrière de matériaux alluvionnaires - Les Orangers - Commune de Saint-Benoît;"Pour répondre aux besoins en matériaux de la zone Nord et Est et des grands chantiers, la société TERALTA Granulat Béton Réunion (TGBR) projette l’exploitation d’une carrière de matériaux alluvionnaires sur la plaine de la Rivière de l'Est, au lieu-dit ""Les Orangers"" sur la commune de Saint-Benoît. La zone est à vocation agricole, avec une dominance de la culture de la canne à sucre.

Une demande d’autorisation d’exploiter a été déposée et a fait l’objet d’une première instruction et d’une enquête publique dans le courant de l’année 2015. Suite aux avis reçus, il s’est avéré nécessaire de réaliser des compléments d’étude portant notamment sur les volets écologiques, agricoles et hydrauliques et répondant aux différentes contraintes de la zone. 

Ce nouveau projet constitue sans nul doute une modification substantielle du projet initial. C’est pourquoi un nouveau dossier complet de demande d’autorisation d’exploiter (DDAE) a été déposé. 

Le projet d’exploitation modifié porte sur une durée de 15,5 ans avec un tonnage moyen annuel de matériaux extraits de 1,1 millions de tonnes par an. La surface d’emprise maximale sera de 46 hectares dont 42 correspondant à la surface totale d’extraction. Le traitement des matériaux sera réalisé sur le site, grâce à une installation mobile les deux premières années, puis à l’aide d’une installation fixe dès la troisième année.

Lors de la remise en état du site, un remodelage de la pente du terrain ainsi qu’une amélioration agronomique des sols permettront un meilleur rendement agricole. De plus, le carrier et les propriétaires ont pour projet d'intégrer au niveau des talus, des espaces naturels constitués d'espèces endémiques et indigènes. Ces espaces donneront un aspect moins uniforme au paysage et seront bénéfiques d'un point de vue faunistique et floristique.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;EMC²;CGDD - MTES;2018-12-03T19:17:47+01:00;téléprocédure demarches-simplifiées;02/02/2018;974 - La Réunion;30/07/2018;31/08/2018;790815286
Parc Solaire d'Organabo;"Projet de construction d'une centrale de production d'électricité à partir de l'énergie solaire photovoltaïque. L'électricité produite sera injectée sur le réseau public d'électricité du littoral Guyanais. La centrale, d'une superficie de 4,5 ha, est constituée de panneaux solaires montés sur des structures à charpente métallique et pieux forés. La superficie totale des panneaux est de 26 520 m². La puissance totale de la centrale est de 5MWc. La centrale est donc soumise à étude d'impact au titre de l'annexe à l'article R122-2 du code de l'environnement (rubrique 30 : Installation au sol d'une puissance égale ou supérieure à 250kWc).



Le projet intègre également un poste de livraison d'électricité, deux onduleurs et deux transformateur en solution extérieure sur dalle béton, une bâche de réserve d'eau anti-incendie de 120 m3 et 6 containers maritimes 20 pieds. Les containers maritime contiennent un ensemble de batteries lithium-ion avec leurs onduleurs et transformateurs d'une puissance d'environ 2,5 MW et une capacité de stockage de 4,6 MWh. Le dispositif de stockage est soumis au régime déclaratif ICPE au titre de la rubrique 2925 sur les ""Ateliers de charge d'accumulateurs"" (La puissance maximale de courant continu utilisable pour cette opération étant supérieure à 50kW).";"Installations classées pour la protection de l'environnement;Ouvrages de production d'électricité à partir de l'énergie solaire";"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";non defini;Permis de construire;;;NATURALIA;CGDD - MTES;2019-06-04T21:31:52+02:00;téléprocédure demarches-simplifiées;10/08/2018;973 - Guyane;27/08/2018;;394792923
Centrale photovoltaïque au sol;Centrale photovoltaïque au sol sur la commune de Lécussan nécessitant la réalisation d'un poste de livraison combiné et d'un local de maintenance.;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;non defini;Permis de construire;;;-;CGDD - MTES;2019-01-04T14:45:11+01:00;téléprocédure demarches-simplifiées;;31 - Haute-Garonne;;;443937438
Projet de parc photovoltaïque au sol à Diesen et Porcelette (57) - Tranche 1;"Réalisation d'une centrale photovoltaïque au sol découpée en 2 tranches, au droit d'une ancienne plateforme de stockage de charbon. 

Le projet de la première tranche a une puissance de 17 MWc environ sur une surface clôturée de 20,2 hectares. La surface au sol couverte par les panneaux est d'environ 8,9 hectares. Les panneaux seront posés sur des structures fixes de moins de 3,5 m de haut. Le parc (tranche 1) sera équipé de 12 postes de transformation et 1 poste de livraison.";Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;Permis de construire;;;-;CGDD - MTES;2019-10-04T11:10:07+02:00;téléprocédure demarches-simplifiées;20/09/2019;57 - Moselle;07/10/2019;06/11/2019;847922606
projet de parc photovoltaïque au sol à Diesen et Porcelette (57) - Tranche 2;"Réalisation d'une centrale photovoltaïque au sol découpée en 2 tranches, au droit d'une ancienne plateforme de stockage de charbon. 

Le projet de la deuxième tranche a une puissance de 10,2 MWc environ sur une surface clôturée de 11,8 hectares. La surface au sol couverte par les panneaux est d'environ 5,26 hectares. Les panneaux seront posés sur des structures fixes de moins de 3,5 m de haut. Le parc (tranche 2) sera équipé de 8 postes de transformation et 1 poste de livraison.";Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;Permis de construire;;;-;CGDD - MTES;2019-10-04T11:01:44+02:00;téléprocédure demarches-simplifiées;20/09/2019;57 - Moselle;07/10/2019;06/11/2019;439263179
Projet de centrale photovoltaïque au sol de Champ de Liveau;Il s'agit d'un projet de centrale photovoltaïque au sol, d'une puissance estimée à 5 000 kWc (5 MWc), qui prend place sur l'ancienne décharge d'ordures ménagères de Champ de Liveau sur la commune de Montreuil-Bellay. Le projet comprendra la réalisation de terrassements, puis la pose de fondations et structures permettant de supporter les panneaux photovoltaïques, dont le courant sera converti par des onduleurs et transformateurs afin d'être injecté sur le réseau. Le projet sera raccordé au réseau ENEDIS. Les impacts de ce projet qui ont été identifiés et étudiés sont ceux sur la faune, la flore et les paysages, tels que décrits dans l'étude d'impact.;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;Permis de construire;;;TECSOL;CGDD - MTES;2020-01-20T15:34:23+01:00;téléprocédure demarches-simplifiées;20/09/2019;49 - Maine-et-Loire;07/10/2019;06/11/2019;834209959
Création d'une usine de traitement innovant des co-produits de volailles;La société PFC a pour projet la création d'une usine de traitement innovant des co-produits de volailles sur la commune de Vaiges (53). Les produits finis seront constitués de Protéines Animales Transformées (PAT) de volailles et graisses animales. Cette usine utilisera le gaz de ville, l'électricité, l'eau de ville et disposera de réfrigération. Elle sera équipée d'un traitement d'air. Elle disposera d'une station d'épuration raccordée au milieu récepteur et d'une réserve d'irrigation selon les périodes possibles de rejet dans la Vaige.;"Installations classées pour la protection de l'environnement;Travaux, constructions et opérations d'aménagement";"ENVIRONNEMENT (dont ICPE installation classée);AGRO-ALIMENTAIRE;INDUSTRIE";clos;"Autorisation au titre du code de l'environnement;Permis de construire";;;DEKRA INDUSTRIAL;CGDD - MTES;2019-09-12T18:16:19+02:00;téléprocédure demarches-simplifiées;11/09/2019;53 - Mayenne;30/09/2019;29/10/2019;399780329
Parc photovoltaïque de Chenillé Champteussé;Parc photovoltaïque de Chenillé Champteussé;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;Permis de construire;;;-;CGDD - MTES;2019-10-08T13:00:22+02:00;téléprocédure demarches-simplifiées;12/02/2019;49 - Maine-et-Loire;28/02/2019;06/04/2019;342805843
