DATE_CREATION;SIREN;RAISON_SOCIALE;CODE_POSTAL;SECTEUR_ACTIVITE;TAILLE_ENTREPRISE;RESULTAT_NET;CHIFFRE_AFFAIRES;CAPITAL_SOCIAL;NB_SALARIES;ADRESSE_RUE;VILLE;DETTES_FISCALES;PRÊT_BANCAIRE
26/11/2003;451658389;HARRYS;92400;Ecologie;PME;28283;84850;877345;190;9 Rue SAINTE MARIE;COURBEVOIE;18001;15099
25/12/1995;299200097;SHAYA GROUP;92400;Energie;TPE;2871;8612;89049;8;2 Avenue LEONARD DE VINCI;COURBEVOIE;91333;28672
27/11/2018;790815286;HASCOET ET ASSOCIES;92400;Automobile;ETI;133194;399583;4131687;3071;1 Rue PIERRE BROSSOLETTE;COURBEVOIE;47654;58402
21/07/2009;394792923;SHAYNADIS;92400;Immobilier;PME;3511;10534;108923;65;8 Rue SAINTE MARIE;COURBEVOIE;97769;22504
01/01/2017;443937438;HASSELBAD FRANCE SAS;92400;Alimentation;TPE;1888;5663;58554;9;24 Rue GAULTIER;COURBEVOIE;45164;98543
29/01/2019;847922606;SHEFOB;92400;Ecologie;TPE;2364;7092;73329;1;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;23588;94641
19/10/2001;439263179;HATSLAHA AIDA OPERA;92400;Ecologie;TPE;506;1518;15692;2;41 Rue DU CAPITAINE GUYNEMER;COURBEVOIE;72694;86291
01/12/2017;834209959;SHEMEN;92400;Agriculture;PME;21035;63106;652519;210;137 Boulevard SAINT DENIS;COURBEVOIE;84779;7507
01/02/2012;399780329;HAUSSMANN AUDIT CONSULTANTS;92400;Informatique;PME;25432;76296;788901;242;154 Rue ARMAND SILVESTRE;COURBEVOIE;76950;66612
10/07/1997;342805843;SHEN;92400;Automobile;PME;30859;92577;957243;242;29 Rue RASPAIL;COURBEVOIE;43301;49655
01/10/2019;877877837;HAUSSMANN EXECUTIVE SEARCH;92400;Immobilier;PME;27734;83201;860303;92;14 Rue JULES FERRY;COURBEVOIE;34248;1831
24/06/2002;784671257;SHEN NONG;92400;Assurance;ETI;105928;317784;3285882;2282;11 ALL DE L ARCHE;COURBEVOIE;41511;7834
03/01/1997;410963656;HAUSSMANN SERVICES DE SANTE;92400;Assurance;GE;2596964;7790893;80557838;7524;3 Rue DE LA SABLIERE;COURBEVOIE;44876;59759
06/06/2014;793577016;SHENKUO BUSINESS PARTNERS;92400;Energie;PME;26647;79942;826602;150;36 Rue JULES FERRY;COURBEVOIE;97855;27727
09/08/2017;831430178;HAUT COMME 3 POMMES;92400;Energie;TPE;2500;7499;77535;6;6 Rue ALBERT SIMONIN;COURBEVOIE;6316;92012
