DATE_CREATION;SIREN;NOM_ENTREPRISE;NUM_REGISTRATION;TYPE_CLIENT;NB_SALARIES;ADRESSE_RUE;CITY;ZIPCODE
26/11/2003;451658389;HARRYS;34214535;PME;190;10 Rue SAINTE MARIE;COURBEVOIE;92400
25/12/1995;299200097;SHAYA GROUP;32612453;TPE;8;2 Avenue LEONARD DE VINCI;COURBEVOIE;92400
27/11/2018;790815286;HASCOET ET ASSOCIES;13624546;ETI;3071;1 Rue PIERRE BROSSOLETTE;COURBEVOIE;92400
21/07/2009;394792923;SHAYNADIS;20313058;PME;65;8 Rue SAINTE MARIE;COURBEVOIE;92400
01/01/2017;443937438;HASSELBAD FRANCE SAS;16011232;TPE;9;24 Rue GAULTIER;COURBEVOIE;92400
29/01/2019;847922606;SHEFOB;17171031;TPE;1;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
19/10/2001;439263179;HATSLAHA AIDA OPERA;24066007;TPE;2;41 Rue DU CAPITAINE GUYNEMER;COURBEVOIE;92400
01/12/2017;834209959;SHEMEN;19774790;PME;210;137 Boulevard SAINT DENIS;COURBEVOIE;92400
01/02/2012;399780329;HAUSSMANN AUDIT CONSULTANTS;11667444;PME;242;154 Rue ARMAND SILVESTRE;COURBEVOIE;92400
10/07/1997;342805843;SHEN;21595385;PME;242;29 Rue RASPAIL;COURBEVOIE;92400
01/10/2019;877877837;HAUSMANN EXECUTIVE SEARCH;36990189;PME;92;14 Rue JULES FERRY;COURBEVOIE;92400
24/06/2002;784671257;SHEN NONG;20100831;ETI;2282;11 ALL DE L ARCHE;COURBEVOIE;92400
03/01/1997;410963656;HAUSSMANN SERVICES DE SANTE;25220557;GE;7520;3 Rue DE LA SABLIERE;COURBEVOIE;92400
06/06/2014;793577016;SHENKUO BUSINESS PARTNERS;32233734;PME;145;36 Rue JULES FERRY;COURBEVOIE;92400
09/08/2017;831430178;HAUT COMME 3 POMMES;28553642;TPE;6;6 Rue ALBERT SIMONIN;COURBEVOIE;92400
26/09/2018;750580243;SHEPALII;36219760;ETI;3716;12 Avenue LEONARD DE VINCI;COURBEVOIE;92400
17/03/2017;505099598;HAUTES ETUDES APPLIQUEES DU DROIT (HEAD);25140278;PME;194;22 Boulevard DE LA PAIX;COURBEVOIE;92400
01/01/1900;785355041;SHERFI SAS;21583271;PME;61;1 Place DES SAISONS;COURBEVOIE;92400
21/06/2004;477855548;HAVRE TRONCHET;28178735;TPE;2;16 Place DE L IRIS;COURBEVOIE;92400
29/07/2011;533866893;SHERPA - SOCIETE DES HOTELS ECONOMIQUES DE LA REGION PARISIENNE;39211795;TPE;3;14 Avenue DUBONNET;COURBEVOIE;92400
24/02/2016;818689556;HAWAI IVRY;25084830;TPE;9;50 Avenue GAMBETTA;COURBEVOIE;92400
01/12/2017;833524713;HAWAII;35595403;TPE;4;18 Avenue LEONARD DE VINCI;COURBEVOIE;92400
04/12/2015;499680494;SHIGERU BAN ARCHITECTS EUROPE;36680301;TPE;8;3 Rue DE COLOMBES;COURBEVOIE;92400
01/04/2011;531056257;SHINETIME;24064974;PME;103;10 Rue DE LA MOnNTAGNE;COURBEVOIE;92400
16/05/2014;802615591;HAXO EXOTIQUE;17985883;PME;189;24 Rue CARLA HEBERT;COURBEVOIE;92400
01/10/1992;389005067;SHINICHI;16893073;TPE;8;5 Boulevard GEORGES CLEMENCEAU;COURBEVOIE;92400
01/07/2015;812592830;HAXXO-BLUN;22787815;TPE;6;2 Rue EDITH CAVELL;COURBEVOIE;92400
01/07/2016;821287810;SHINIE;10325053;ETI;430;1 Promenade SAINT NICOLAS;COURBEVOIE;92400
30/03/2005;790626246;HAI;27031973;GE;5557;47 Rue DE BEZONS;COURBEVOIE;92400
22/08/2017;831558721;SHINSEGAE POIRET;28810301;GE;7851;18 Rue SAINT GUILLAUME;COURBEVOIE;92400
20/12/2013;790932412;HAYA;21205469;ETI;1329;293 Boulevard SAINT DENIS;COURBEVOIE;92400
01/06/2019;853412237;SHINZZO AND CO;14143880;ETI;4100;  TOUR FRAMATOME;COURBEVOIE;92400
01/01/2010;504472044;HAYS FINANCE;14694398;PME;162;38 Rue DE NORMANDIE;COURBEVOIE;92400
25/09/2003;452796394;SHIPLEADER RETURNS;21629674;TPE;3;88 Rue ARMAND SILVESTRE;COURBEVOIE;92400
22/07/2014;803672310;HAYS MEDIAS;26304144;TPE;8;5 Rue MOLIERE;COURBEVOIE;92400
16/11/1989;352779730;SHIPTON & HENEAGE;37963863;TPE;4;13 Chemin PIERRE DE RONSARD;COURBEVOIE;92400
01/01/2007;433919834;HAYS PHARMA TECHNOLOGY CONSULTING;32115107;PME;80;9 Rue VICTOR HUGO;COURBEVOIE;92400
27/05/2019;851638882;SHIRO;33847593;TPE;1;42  TERRASSE DE L IRIS;COURBEVOIE;92400
01/12/2014;808326839;HAZA;25982321;PME;98;71 Boulevard SAINT DENIS;COURBEVOIE;92400
11/05/2000;433174182;SHIRYU;39323635;PME;85;33 Boulevard SAINT DENIS;COURBEVOIE;92400
01/11/2018;753435676;HB 75;13717486;TPE;7;17 Rue CANTIN;COURBEVOIE;92400
28/11/1996;411107402;SHIVA GROUPE;38940645;PME;228;56 Rue DE BEZONS;COURBEVOIE;92400
01/08/2014;328896501;HB DIFFUSION;34841345;GE;7525;110 Avenue MARCEAU;COURBEVOIE;92400
01/03/2011;530971399;SHIVAS;11524177;ETI;4980;20 Avenue ANDRE PROTHIN;COURBEVOIE;92400
19/07/2005;419607007;HBA;10528451;ETI;4519;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
02/01/2014;477950562;SHOC;31507654;PME;118;4 ALL BOTTICELLI;COURBEVOIE;92400
25/12/1995;38891867;HBC LEGAL;26305745;TPE;6;14 Rue GAULTIER;COURBEVOIE;92400
20/10/1989;352369656;SHOJI HOME;21205347;TPE;6;55 Rue DE BEZONS;COURBEVOIE;92400
31/07/1999;424005320;HBE;38387972;PME;16;1 Rue DE BITCHE;COURBEVOIE;92400
20/06/2019;839932696;SHOP IN STORE;39302203;PME;113;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
01/01/2012;453741498;HBH COMMUNICATION;19355699;TPE;3;61 Rue DU 22 SEPTEMBRE;COURBEVOIE;92400
01/01/2013;316917392;SHOP SOUVENIRS;35911780;ETI;1132;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
25/07/2007;499824290;HBHM;39109693;PME;50;4 Passage DE LA REUNION;COURBEVOIE;92400
20/10/2010;521821447;SHORTLINKS;27589145;TPE;7;88 Rue DES ETUDIANTS;COURBEVOIE;92400
10/09/1997;413914193;HBL CONSEIL;36385597;TPE;5;38 Rue JP TIMBAUD;COURBEVOIE;92400
20/12/2001;441975133;SHOVO PARVEZ;19063631;TPE;5;47 Avenue DE L EUROPE;COURBEVOIE;92400
15/03/2016;819666249;HC;21411643;PME;36;110 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
14/07/2008;505032094;SHOWROOM 11 ROYALE;37550325;PME;29;20 Rue LOUIS ULBACH;COURBEVOIE;92400
25/12/1995;38884110;HCH 588;23760160;PME;210;39 Rue GAULTIER;COURBEVOIE;92400
31/07/2014;804451342;SHOWROOM BLB;32447279;PME;42;65 Avenue DE LA REPUBLIQUE;COURBEVOIE;92400
19/03/2015;810505305;HCP PACKAGING FRANCE;10038273;ETI;568;15 Quai DU PRESIDENT PAUL DOUMER;COURBEVOIE;92400
01/01/2008;501747539;SHUN JI;32380052;GE;5151;3 Square LEON DE BERTALOT;COURBEVOIE;92400
01/10/1990;381994854;HDA;30842764;PME;185;42 Rue LOUIS ULBACH;COURBEVOIE;92400
27/03/2015;810943019;SIA HOLDING;26155350;TPE;1;12 Avenue LEONARD DE VINCI;COURBEVOIE;92400
01/03/2018;790527949;HDF BEAUTY;28941817;ETI;1765;88 Rue ARMAND SILVESTRE;COURBEVOIE;92400
30/06/2017;438915779;SIACKHASONE FRERES;26845117;PME;186;79 Rue DE COLOMBES;COURBEVOIE;92400
01/01/2017;803048321;HDF PARA;22440738;PME;219;36 Boulevard DE VERDUN;COURBEVOIE;92400
10/12/2010;529251217;SIAE;20783494;TPE;8;23 Rue CARNOT;COURBEVOIE;92400
24/11/2018;844262931;HDN;14293547;TPE;6;293 Boulevard SAINT DENIS;COURBEVOIE;92400
